"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2000年35週"
"集計期間終了週","2000年35週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"～5ヶ月","0","0","0","0","2","1","1","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","0","0","0","0","5","1","10","0","34","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0"
"1歳","0","0","2","0","6","3","30","0","13","0","0","13","1","2","0","1","0","0","0","0","0","0","0","0"
"2歳","0","0","0","0","7","7","15","1","0","0","0","11","0","4","0","0","0","0","0","0","0","0","0","0"
"3歳","0","0","2","2","13","4","20","2","0","0","0","11","0","4","0","0","0","0","0","0","0","0","0","0"
"4歳","0","0","0","0","13","5","8","0","0","0","0","4","2","4","1","0","0","0","0","0","0","0","0","0"
"5歳","0","0","1","1","9","3","4","2","0","0","0","3","0","10","1","0","0","0","0","0","0","0","0","0"
"6歳","0","0","1","1","7","0","4","1","1","0","0","3","0","4","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","1","2","6","0","1","2","1","0","0","1","0","5","1","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","1","4","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","0","8","2","2","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0"
"10～14歳","0","0","0","0","18","0","0","0","0","0","0","1","2","2","0","0","0","0","0","0","0","0","0","0"
"15～19歳","0","0","0","0","6","1","0","0","0","1","0","4","0","1","0","0","0","0","0","0","0","0","0","0"
"20～29歳","0","0","1","4","24","1","0","0","0","0","0","3","0","3","1","0","0","4","0","0","0","0","0","0"
"30～39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40～49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"50～59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"60～69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","0","0","8","11","128","28","95","8","52","1","0","59","6","44","6","1","0","8","0","0","0","0","0","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2000年35週"
"集計期間終了週","2000年35週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"～5ヶ月","0","0","0","0","2","1","0","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","0","0","0","0","3","0","6","1","29","0","0","5","1","0","3","0","0","0","0","0","0","0","0","0"
"1歳","0","0","0","0","9","7","21","0","7","1","1","8","0","2","2","0","0","1","0","0","0","0","0","0"
"2歳","0","0","2","0","8","5","11","2","0","0","1","12","1","4","0","0","0","0","0","0","0","0","0","0"
"3歳","0","0","1","1","3","5","8","0","0","0","2","12","1","6","0","0","0","1","0","0","0","0","0","0"
"4歳","0","0","2","0","5","3","17","3","0","0","0","6","0","5","0","0","0","0","0","0","0","0","0","0"
"5歳","0","0","1","2","9","1","9","3","0","0","0","4","0","5","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","0","2","7","0","4","1","0","0","0","6","0","4","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","0","0","2","1","0","2","0","0","0","5","0","4","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","0","4","0","2","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","0","3","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0"
"10～14歳","0","0","0","0","5","0","0","2","0","0","0","2","1","3","0","0","0","0","0","0","0","0","0","0"
"15～19歳","0","0","0","0","5","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0"
"20～29歳","0","0","1","4","29","1","4","0","0","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0"
"30～39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"40～49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"50～59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"60～69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"70～79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","0","0","7","9","94","24","82","15","41","1","4","66","5","37","5","0","0","14","0","0","0","0","0","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2000年35週"
"集計期間終了週","2000年35週"
"性別","男女合計"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

