"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2011年26週
"集計期間終了週",2011年26週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","6","3","9","413"
"RSウイルス感染症","13","6","19","261"
"咽頭結膜熱","108","89","197","261"
"Ａ群溶血性レンサ球菌咽頭炎","305","258","563","261"
"感染性胃腸炎","683","565","1248","261"
"水痘","189","195","384","261"
"手足口病","394","269","663","261"
"伝染性紅斑","115","145","260","261"
"突発性発しん","119","113","232","261"
"百日咳","4","3","7","261"
"ヘルパンギーナ","207","182","389","261"
"流行性耳下腺炎","53","45","98","261"
"不明発しん症","47","32","79","261"
"川崎病","4","5","9","261"
"急性出血性結膜炎","0","0","0","37"
"流行性角結膜炎","9","8","17","37"
"細菌性髄膜炎","0","1","1","24"
"無菌性髄膜炎","1","0","1","24"
"マイコプラズマ肺炎","10","8","18","24"
"クラミジア肺炎(オウム病は除く)","0","0","0","24"
"インフルエンザ入院","0","0","0","25"
