"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2010年19週
"集計期間終了週",2010年19週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","9","6","15","284"
"RSウイルス感染症","7","1","8","148"
"咽頭結膜熱","20","21","41","148"
"Ａ群溶血性レンサ球菌咽頭炎","140","107","247","148"
"感染性胃腸炎","560","495","1055","148"
"水痘","145","157","302","148"
"手足口病","31","22","53","148"
"伝染性紅斑","20","35","55","148"
"突発性発しん","49","48","97","148"
"百日咳","4","3","7","148"
"ヘルパンギーナ","29","18","47","148"
"流行性耳下腺炎","74","89","163","148"
"不明発しん症","8","6","14","148"
"川崎病","1","2","3","148"
"急性出血性結膜炎","0","1","1","39"
"流行性角結膜炎","2","9","11","39"
"細菌性髄膜炎","1","0","1","24"
"無菌性髄膜炎","1","0","1","24"
"マイコプラズマ肺炎","2","3","5","24"
"クラミジア肺炎(オウム病は除く)","0","0","0","24"
