"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2012年32週
"集計期間終了週",2012年32週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","3","2","5","375"
"RSウイルス感染症","62","55","117","247"
"咽頭結膜熱","61","51","112","247"
"Ａ群溶血性レンサ球菌咽頭炎","114","89","203","247"
"感染性胃腸炎","445","391","836","247"
"水痘","59","55","114","247"
"手足口病","123","123","246","247"
"伝染性紅斑","7","6","13","247"
"突発性発しん","77","91","168","247"
"百日咳","0","3","3","247"
"ヘルパンギーナ","454","377","831","247"
"流行性耳下腺炎","39","24","63","247"
"不明発しん症","19","21","40","247"
"川崎病","4","1","5","247"
"急性出血性結膜炎","0","1","1","33"
"流行性角結膜炎","8","14","22","33"
"細菌性髄膜炎","2","1","3","25"
"無菌性髄膜炎","3","1","4","25"
"マイコプラズマ肺炎","9","8","17","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"インフルエンザ入院","0","0","0","25"
