"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2021年15週
"集計期間終了週",2021年15週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","413"
"RSウイルス感染症","42","34","76","260"
"咽頭結膜熱","8","7","15","260"
"Ａ群溶血性レンサ球菌咽頭炎","48","35","83","260"
"感染性胃腸炎","429","397","826","260"
"水痘","9","4","13","260"
"手足口病","0","0","0","260"
"伝染性紅斑","1","2","3","260"
"突発性発しん","72","49","121","260"
"ヘルパンギーナ","2","0","2","260"
"流行性耳下腺炎","11","2","13","260"
"不明発しん症","1","4","5","260"
"川崎病","3","3","6","260"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","5","5","10","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
