"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2024年27週
"集計期間終了週",2024年27週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","57","63","120","419"
"新型コロナウイルス感染症（COVID-19）","1376","1618","2994","419"
"RSウイルス感染症","70","55","125","264"
"咽頭結膜熱","59","44","103","264"
"Ａ群溶血性レンサ球菌咽頭炎","398","335","733","264"
"感染性胃腸炎","560","511","1071","264"
"水痘","26","23","49","264"
"手足口病","1999","1690","3689","264"
"伝染性紅斑","49","50","99","264"
"突発性発しん","47","50","97","264"
"ヘルパンギーナ","452","383","835","264"
"流行性耳下腺炎","20","18","38","264"
"不明発しん症","13","11","24","264"
"川崎病","1","0","1","264"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","13","8","21","39"
"細菌性髄膜炎","1","1","2","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","16","4","20","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","1","3","4","25"
"COVID-19入院","105","56","161","25"
