"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2011年24週"
"集計期間終了週","2011年24週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","0","2","1","0","11","3","0","0","3","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","0","2","7","1","53","17","10","0","46","1","6","1","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","0","17","8","123","28","29","4","49","0","11","4","7","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2歳","0","0","14","25","92","35","22","10","7","0","11","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","0","0","15","47","112","46","22","7","0","0","7","7","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","0","0","17","58","101","36","4","12","1","0","2","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","1","0","11","65","88","27","6","10","1","0","1","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","6","53","47","18","1","23","0","0","0","6","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","1","39","60","12","2","15","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","4","18","30","2","2","12","1","0","1","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","1","0","1","17","34","3","0","5","0","0","0","4","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","3","33","95","3","1","4","1","0","1","6","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"15～19歳","1","0","1","4","19","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","1","0","2","11","56","1","1","1","0","4","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"30～39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0"
"40～49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"60～69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
