"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2017年14週
"集計期間終了週",2017年14週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","1074","1040","2114","413"
"RSウイルス感染症","14","13","27","260"
"咽頭結膜熱","40","20","60","260"
"Ａ群溶血性レンサ球菌咽頭炎","252","204","456","260"
"感染性胃腸炎","969","913","1882","260"
"水痘","42","41","83","260"
"手足口病","8","12","20","260"
"伝染性紅斑","9","21","30","260"
"突発性発しん","65","70","135","260"
"百日咳","1","1","2","260"
"ヘルパンギーナ","2","1","3","260"
"流行性耳下腺炎","35","38","73","260"
"不明発しん症","8","5","13","260"
"川崎病","1","0","1","260"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","9","6","15","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","0","2","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"感染性胃腸炎（ロタウイルス）","7","9","16","25"
"インフルエンザ入院","4","5","9","25"
