"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2020年23週
"集計期間終了週",2020年23週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","412"
"RSウイルス感染症","0","0","0","260"
"咽頭結膜熱","2","2","4","260"
"Ａ群溶血性レンサ球菌咽頭炎","52","23","75","260"
"感染性胃腸炎","203","164","367","260"
"水痘","12","6","18","260"
"手足口病","14","11","25","260"
"伝染性紅斑","1","3","4","260"
"突発性発しん","55","63","118","260"
"ヘルパンギーナ","1","2","3","260"
"流行性耳下腺炎","9","2","11","260"
"不明発しん症","6","7","13","260"
"川崎病","1","3","4","260"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","2","4","6","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","2","2","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
