"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2009年20週"
"集計期間終了週","2009年20週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","0","0","3","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"中央区","1","0","0","5","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"みなと","5","1","5","2","22","1","0","1","2","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","0","0","0","7","12","2","0","1","1","0","1","0","0","0","0","0","0","0","1","0","","","","","",""
"文京","1","0","0","1","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","0","0","1","2","14","1","0","1","0","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","1","0","0","3","8","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","0","0","0","7","24","4","2","1","2","0","0","3","0","0","0","0","0","0","0","0","","","","","",""
"品川区","1","0","1","7","24","3","1","3","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","0","0","1","4","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","","","","","",""
"大田区","4","0","4","4","43","13","1","0","3","0","1","2","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","7","0","0","6","24","2","0","7","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","0","0","0","1","8","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","1","0","0","10","14","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","2","0","0","3","16","2","0","0","2","0","0","3","0","0","0","0","0","0","0","0","","","","","",""
"池袋","2","0","1","0","7","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","1","0","0","0","8","0","0","0","1","0","0","3","1","0","0","0","0","0","0","0","","","","","",""
"荒川区","2","0","0","4","10","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"板橋区","1","0","0","0","11","4","2","0","1","0","0","2","0","0","0","1","0","0","0","0","","","","","",""
"練馬区","3","0","0","3","5","5","0","2","1","0","0","4","0","0","0","1","0","0","0","0","","","","","",""
"足立","2","0","1","5","11","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","","","","","",""
"葛飾区","1","0","0","4","10","1","0","0","1","0","0","1","0","0","0","1","0","0","2","0","","","","","",""
"江戸川","6","0","3","9","12","2","3","0","2","0","0","4","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","0","0","3","22","45","15","0","0","3","0","0","17","1","0","0","0","0","0","0","0","","","","","",""
"町田市","3","0","1","14","41","12","0","6","1","0","1","16","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","1","0","0","1","13","2","0","0","1","0","0","10","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","3","0","7","8","3","0","0","4","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","0","0","0","3","13","5","0","0","0","0","0","4","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","2","0","0","4","22","3","0","0","7","0","0","1","1","0","0","0","0","0","2","0","","","","","",""
"多摩小平","9","0","0","20","22","7","0","1","4","0","2","2","0","0","0","1","0","0","0","0","","","","","",""
"島しょ","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","58","4","20","155","460","104","9","25","42","0","6","81","5","0","1","5","0","0","5","0","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2009年20週"
"集計期間終了週","2009年20週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
