"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2014年4月"
"集計期間終了月","2014年4月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","37","34","17","25","0","2","5","0","1","0","",""
"区南部","3","2","1","4","0","0","0","0","0","0","",""
"区西南部","4","2","0","1","0","0","1","2","0","0","",""
"区西部","22","7","20","18","0","5","5","0","0","0","",""
"区西北部","12","4","5","9","0","0","4","1","0","0","",""
"区東北部","0","0","0","2","0","0","2","0","0","0","",""
"区東部","15","3","5","16","0","1","4","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","1","0","0","0","",""
"北多摩西部","0","0","0","0","0","0","1","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","10","1","0","0","",""
"北多摩北部","0","0","0","0","0","0","4","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","93","52","48","75","0","8","37","5","1","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2014年4月"
"集計期間終了月","2014年4月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","7","4","7","1","1","3","1","0","0","0","",""
"区南部","5","0","0","0","0","0","0","0","0","0","",""
"区西南部","7","7","2","0","0","0","2","1","0","0","",""
"区西部","10","6","6","4","2","0","7","1","0","0","",""
"区西北部","12","7","1","1","1","1","7","0","0","0","",""
"区東北部","3","1","2","0","3","0","3","2","0","0","",""
"区東部","3","3","1","0","6","0","3","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","8","3","1","1","3","1","0","0","0","0","",""
"北多摩西部","10","1","1","2","1","0","0","0","0","0","",""
"北多摩南部","0","0","1","0","0","0","13","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","0","",""
"合計","65","32","22","9","17","5","37","5","0","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2014年4月"
"集計期間終了月","2014年4月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","44","38","24","26","1","5","6","0","1","0","10","4"
"区南部","8","2","1","4","0","0","0","0","0","0","3","1"
"区西南部","11","9","2","1","0","0","3","3","0","0","4","3"
"区西部","32","13","26","22","2","5","12","1","0","0","11","4"
"区西北部","24","11","6","10","1","1","11","1","0","0","6","2"
"区東北部","3","1","2","2","3","0","5","2","0","0","3","1"
"区東部","18","6","6","16","6","1","7","0","0","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","8","3","1","1","3","1","1","0","0","0","5","1"
"北多摩西部","10","1","1","2","1","0","1","0","0","0","2","1"
"北多摩南部","0","0","1","0","0","0","23","1","0","0","3","3"
"北多摩北部","0","0","0","0","0","0","4","2","0","0","1","2"
"島しょ","0","0","0","0","0","0","1","0","0","0","0","1"
"合計","158","84","70","84","17","13","74","10","1","0","54","25"


