"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2014年33週
"集計期間終了週",2014年33週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2","3","5","368"
"RSウイルス感染症","21","16","37","226"
"咽頭結膜熱","34","26","60","226"
"Ａ群溶血性レンサ球菌咽頭炎","65","62","127","226"
"感染性胃腸炎","338","271","609","226"
"水痘","47","40","87","226"
"手足口病","81","56","137","226"
"伝染性紅斑","28","27","55","226"
"突発性発しん","65","52","117","226"
"百日咳","3","1","4","226"
"ヘルパンギーナ","314","276","590","226"
"流行性耳下腺炎","46","31","77","226"
"不明発しん症","12","8","20","226"
"川崎病","3","0","3","226"
"急性出血性結膜炎","0","0","0","34"
"流行性角結膜炎","1","2","3","34"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","0","1","1","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
