"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2017年18週"
"集計期間終了週","2017年18週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","34","2","5","6","46","2","7","1","2","0","0","2","1","1","0","0","0","0","0","0","0","2","","","","","",""
"区南部","14","0","2","26","71","4","3","0","1","0","1","2","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","32","4","6","41","69","6","6","3","7","0","2","1","0","0","0","1","0","0","1","0","0","0","","","","","",""
"区西部","32","4","4","20","106","3","2","3","5","0","1","1","2","0","0","2","0","0","0","0","0","0","","","","","",""
"区西北部","36","3","1","34","69","8","2","2","15","0","2","2","1","0","0","1","0","0","0","0","1","0","","","","","",""
"区東北部","41","2","4","22","91","0","0","1","4","0","0","0","1","0","0","2","0","0","0","0","3","0","","","","","",""
"区東部","32","1","10","24","78","3","2","0","11","0","0","1","2","0","0","0","1","0","0","0","0","0","","","","","",""
"西多摩","3","0","0","1","16","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","47","1","1","28","151","6","1","4","7","0","0","4","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩西部","19","0","0","15","19","3","1","0","2","0","0","4","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","41","2","4","21","48","1","0","3","4","0","0","2","0","0","0","2","0","0","0","0","0","2","","","","","",""
"北多摩北部","23","1","4","33","45","2","1","0","4","0","0","0","0","0","0","2","0","0","0","0","0","1","","","","","",""
"島しょ","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","355","20","41","272","809","40","25","17","64","0","6","19","9","1","0","11","1","0","1","0","4","5","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2017年18週"
"集計期間終了週","2017年18週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","34","1","5","12","41","3","2","1","3","0","1","2","1","1","0","0","0","0","0","0","0","2","","","","","",""
"区南部","19","2","3","21","63","4","7","2","3","0","1","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","35","4","4","39","64","3","2","4","7","0","2","2","0","0","0","3","0","0","1","0","1","1","","","","","",""
"区西部","32","9","6","14","90","3","1","5","5","0","1","3","2","0","0","2","0","0","0","0","0","0","","","","","",""
"区西北部","39","4","1","37","75","9","1","2","6","0","2","2","1","0","0","1","0","0","0","0","1","0","","","","","",""
"区東北部","56","5","7","9","74","1","0","1","7","0","0","0","1","0","0","1","0","0","0","0","1","0","","","","","",""
"区東部","33","2","8","19","67","1","3","3","6","0","0","1","2","0","0","4","1","0","0","0","0","0","","","","","",""
"西多摩","8","0","0","1","12","2","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"南多摩","32","1","4","36","139","3","3","2","2","0","0","9","0","0","0","2","0","0","0","0","0","0","","","","","",""
"北多摩西部","18","3","1","12","31","7","1","0","3","0","1","4","1","0","0","0","0","0","0","0","0","1","","","","","",""
"北多摩南部","47","3","5","11","35","3","2","3","4","0","0","1","1","0","0","3","0","1","0","0","0","2","","","","","",""
"北多摩北部","16","4","2","27","32","3","1","0","9","0","2","1","0","0","0","1","0","0","0","0","0","1","","","","","",""
"島しょ","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","370","38","46","239","723","42","24","23","56","0","10","27","10","1","0","18","1","1","1","0","3","7","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2017年18週"
"集計期間終了週","2017年18週"
"性別","男女合計"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
