"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年44週
"集計期間終了週",2025年44週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","5081","4845","9926","419"
"新型コロナウイルス感染症（COVID-19）","262","294","556","419"
"急性呼吸器感染症（ARI）","18157","17848","36005","419"
"RSウイルス感染症","71","62","133","264"
"咽頭結膜熱","20","21","41","264"
"Ａ群溶血性レンサ球菌咽頭炎","325","239","564","264"
"感染性胃腸炎","680","594","1274","264"
"水痘","36","25","61","264"
"手足口病","39","29","68","264"
"伝染性紅斑","25","31","56","264"
"突発性発しん","36","36","72","264"
"ヘルパンギーナ","46","29","75","264"
"流行性耳下腺炎","9","3","12","264"
"不明発しん症","6","7","13","264"
"川崎病","4","2","6","264"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","11","10","21","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","8","5","13","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","1","0","1","25"
"インフルエンザ入院","32","23","55","25"
"COVID-19入院","24","18","42","25"
