"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2015年1週"
"集計期間終了週","2015年1週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","37","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"中央区","19","0","0","1","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
"新宿区","56","0","0","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"文京","68","0","0","4","5","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","69","0","0","1","7","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","","","","","",""
"江東区","28","0","0","3","9","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","22","1","0","1","7","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","24","1","0","1","11","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","50","1","0","2","19","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","135","4","1","1","10","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"渋谷区","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"中野区","74","0","0","0","27","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","15","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","21","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"北区","35","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","60","5","1","3","12","1","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","118","2","0","0","19","6","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","","","","","",""
"練馬区","37","2","1","2","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","48","3","2","2","13","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","60","0","0","0","10","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","","","","","",""
"江戸川","145","1","5","3","14","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","131","5","0","8","17","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","86","0","0","3","19","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","89","1","2","1","4","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","","","","","",""
