"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2017年24週
"集計期間終了週",2017年24週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","11","16","27","414"
"RSウイルス感染症","30","32","62","263"
"咽頭結膜熱","155","134","289","263"
"Ａ群溶血性レンサ球菌咽頭炎","508","450","958","263"
"感染性胃腸炎","1032","888","1920","263"
"水痘","65","53","118","263"
"手足口病","222","140","362","263"
"伝染性紅斑","13","20","33","263"
"突発性発しん","92","82","174","263"
"百日咳","2","2","4","263"
"ヘルパンギーナ","35","48","83","263"
"流行性耳下腺炎","40","23","63","263"
"不明発しん症","9","11","20","263"
"川崎病","1","0","1","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","11","12","23","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","4","4","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","1","4","5","25"
"インフルエンザ入院","0","0","0","25"
