"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2016年23週
"集計期間終了週",2016年23週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","16","11","27","413"
"RSウイルス感染症","16","11","27","259"
"咽頭結膜熱","137","123","260","259"
"Ａ群溶血性レンサ球菌咽頭炎","474","418","892","259"
"感染性胃腸炎","1012","901","1913","259"
"水痘","80","49","129","259"
"手足口病","42","37","79","259"
"伝染性紅斑","27","37","64","259"
"突発性発しん","102","107","209","259"
"百日咳","2","4","6","259"
"ヘルパンギーナ","50","53","103","259"
"流行性耳下腺炎","93","81","174","259"
"不明発しん症","13","12","25","259"
"川崎病","1","4","5","259"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","7","17","24","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","5","3","8","25"
"クラミジア肺炎(オウム病は除く)","2","0","2","25"
"感染性胃腸炎（ロタウイルス）","2","0","2","25"
"インフルエンザ入院","0","0","0","25"
