"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2017年5週
"集計期間終了週",2017年5週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","7244","7450","14694","415"
"RSウイルス感染症","16","20","36","261"
"咽頭結膜熱","27","24","51","261"
"Ａ群溶血性レンサ球菌咽頭炎","280","239","519","261"
"感染性胃腸炎","761","692","1453","261"
"水痘","38","28","66","261"
"手足口病","6","4","10","261"
"伝染性紅斑","14","13","27","261"
"突発性発しん","68","46","114","261"
"百日咳","0","3","3","261"
"ヘルパンギーナ","1","2","3","261"
"流行性耳下腺炎","48","34","82","261"
"不明発しん症","4","3","7","261"
"川崎病","1","2","3","261"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","5","4","9","39"
"細菌性髄膜炎","1","3","4","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","5","4","9","25"
"クラミジア肺炎(オウム病は除く)","5","0","5","25"
"感染性胃腸炎（ロタウイルス）","2","2","4","25"
"インフルエンザ入院","49","55","104","25"
