"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2013年16週
"集計期間終了週",2013年16週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","207","184","391","412"
"RSウイルス感染症","17","19","36","261"
"咽頭結膜熱","48","44","92","261"
"Ａ群溶血性レンサ球菌咽頭炎","416","365","781","261"
"感染性胃腸炎","1107","1079","2186","261"
"水痘","88","88","176","261"
"手足口病","19","14","33","261"
"伝染性紅斑","25","22","47","261"
"突発性発しん","91","101","192","261"
"百日咳","0","0","0","261"
"ヘルパンギーナ","3","4","7","261"
"流行性耳下腺炎","20","18","38","261"
"不明発しん症","10","15","25","261"
"川崎病","3","2","5","261"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","8","12","20","39"
"細菌性髄膜炎","0","2","2","24"
"無菌性髄膜炎","1","0","1","24"
"マイコプラズマ肺炎","9","5","14","24"
"クラミジア肺炎(オウム病は除く)","0","0","0","24"
"インフルエンザ入院","0","0","0","25"
