"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2008年35週"
"集計期間終了週","2008年35週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","5","2","7","27","0","4","0","9","0","14","3","0","0","0","0","0","1","0","0","","","","","",""
"区南部","0","1","5","4","28","3","5","0","10","0","11","4","0","0","1","2","0","0","0","0","","","","","",""
"区西南部","0","0","2","2","14","1","5","0","4","0","4","2","0","0","1","1","0","0","0","0","","","","","",""
"区西部","0","0","4","3","35","3","11","0","4","0","12","1","0","0","0","1","0","0","2","0","","","","","",""
"区西北部","0","1","3","3","14","2","10","0","9","1","4","9","0","0","0","2","0","0","0","0","","","","","",""
"区東北部","0","0","0","6","12","0","5","2","6","1","6","10","0","0","1","2","0","0","0","0","","","","","",""
"区東部","0","0","2","5","24","2","9","0","6","0","5","4","0","0","0","2","0","0","0","0","","","","","",""
"西多摩","0","0","4","0","4","2","0","0","1","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","1","8","20","40","5","14","1","7","0","21","11","2","0","0","1","0","0","0","0","","","","","",""
"北多摩西部","0","0","0","0","3","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","4","1","5","0","6","0","4","0","3","2","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","0","7","2","13","0","2","0","5","0","17","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","0","8","41","53","219","20","71","3","65","2","101","46","2","0","3","11","0","1","2","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2008年35週"
"集計期間終了週","2008年35週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","2","7","8","17","2","7","1","5","0","7","2","0","0","0","2","0","1","2","0","","","","","",""
"区南部","0","2","4","4","24","3","1","1","3","1","12","4","1","0","1","2","0","0","0","0","","","","","",""
"区西南部","0","0","1","2","12","1","4","1","2","0","6","3","0","0","1","1","0","0","0","0","","","","","",""
"区西部","0","0","4","3","43","3","8","0","4","1","10","5","0","0","0","2","0","0","2","0","","","","","",""
"区西北部","0","1","3","1","10","2","2","0","6","1","4","3","2","0","0","1","0","0","1","0","","","","","",""
"区東北部","0","0","1","5","12","1","5","2","2","1","6","8","0","0","1","1","0","0","3","0","","","","","",""
"区東部","0","0","5","4","14","1","4","0","7","0","8","4","0","0","0","1","0","0","0","0","","","","","",""
"西多摩","0","0","4","1","3","1","0","0","3","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","2","1","4","13","42","2","14","2","7","0","22","7","1","0","0","1","0","0","0","0","","","","","",""
"北多摩西部","0","0","0","4","7","2","0","1","1","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","1","1","9","1","2","0","5","0","3","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","0","7","3","11","0","1","0","1","0","6","1","1","0","0","0","0","0","0","0","","","","","",""
