"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2013年30週
"集計期間終了週",2013年30週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","2","2","415"
"RSウイルス感染症","30","25","55","262"
"咽頭結膜熱","102","70","172","262"
"Ａ群溶血性レンサ球菌咽頭炎","186","166","352","262"
"感染性胃腸炎","487","412","899","262"
"水痘","89","72","161","262"
"手足口病","2253","1873","4126","262"
"伝染性紅斑","5","11","16","262"
"突発性発しん","87","76","163","262"
"百日咳","1","3","4","262"
"ヘルパンギーナ","633","575","1208","262"
"流行性耳下腺炎","19","30","49","262"
"不明発しん症","15","14","29","262"
"川崎病","2","0","2","262"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","10","11","21","39"
"細菌性髄膜炎","2","0","2","25"
"無菌性髄膜炎","3","4","7","25"
"マイコプラズマ肺炎","6","6","12","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"インフルエンザ入院","1","0","1","25"
