"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2021年13週
"集計期間終了週",2021年13週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","412"
"RSウイルス感染症","16","9","25","259"
"咽頭結膜熱","6","11","17","259"
"Ａ群溶血性レンサ球菌咽頭炎","44","34","78","259"
"感染性胃腸炎","323","297","620","259"
"水痘","11","14","25","259"
"手足口病","2","3","5","259"
"伝染性紅斑","0","6","6","259"
"突発性発しん","63","45","108","259"
"ヘルパンギーナ","1","1","2","259"
"流行性耳下腺炎","4","6","10","259"
"不明発しん症","6","10","16","259"
"川崎病","4","1","5","259"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","1","1","2","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","2","1","3","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","1","2","3","25"
"感染性胃腸炎（ロタウイルス）","1","1","2","25"
"インフルエンザ入院","0","0","0","25"
