"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2020年42週
"集計期間終了週",2020年42週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","1","1","412"
"RSウイルス感染症","2","0","2","260"
"咽頭結膜熱","12","10","22","260"
"Ａ群溶血性レンサ球菌咽頭炎","64","48","112","260"
"感染性胃腸炎","303","275","578","260"
"水痘","16","18","34","260"
"手足口病","4","4","8","260"
"伝染性紅斑","1","1","2","260"
"突発性発しん","67","50","117","260"
"ヘルパンギーナ","5","12","17","260"
"流行性耳下腺炎","5","8","13","260"
"不明発しん症","3","7","10","260"
"川崎病","2","1","3","260"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","6","4","10","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","1","1","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
