"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2020年40週
"集計期間終了週",2020年40週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","411"
"RSウイルス感染症","0","0","0","258"
"咽頭結膜熱","12","15","27","258"
"Ａ群溶血性レンサ球菌咽頭炎","67","42","109","258"
"感染性胃腸炎","272","235","507","258"
"水痘","19","22","41","258"
"手足口病","8","12","20","258"
"伝染性紅斑","2","5","7","258"
"突発性発しん","66","70","136","258"
"ヘルパンギーナ","9","15","24","258"
"流行性耳下腺炎","7","4","11","258"
"不明発しん症","5","5","10","258"
"川崎病","2","1","3","258"
"急性出血性結膜炎","0","0","0","37"
"流行性角結膜炎","6","8","14","37"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
