"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2012年6月"
"集計期間終了月","2012年6月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","6","3","0","0"
"1～4歳","0","0","0","0","0","0","6","8","0","0"
"5～9歳","0","0","0","0","0","0","1","2","0","0"
"10～14歳","0","0","0","0","0","0","3","0","0","0"
"15～19歳","1","1","0","1","0","0","0","0","0","0"
"20～24歳","15","3","4","16","0","1","0","0","0","0"
"25～29歳","25","5","7","18","0","1","1","0","0","0"
"30～34歳","25","12","12","17","1","1","1","3","0","0"
"35～39歳","14","12","8","10","0","0","2","0","0","0"
"40～44歳","8","5","8","9","0","0","0","0","0","0"
"45～49歳","9","8","8","5","1","0","1","1","0","0"
"50～54歳","8","6","2","1","0","1","0","1","0","0"
"55～59歳","2","4","1","1","0","0","3","1","0","0"
"60～64歳","0","1","2","1","0","0","6","0","0","0"
"65～69歳","1","2","0","0","0","0","3","2","0","0"
"70歳以上","0","6","1","0","0","0","24","8","0","0"
"合計","108","65","53","79","2","4","57","29","0","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2012年6月"
"集計期間終了月","2012年6月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","1","1","0","0"
"1～4歳","0","0","0","0","0","0","2","6","0","0"
"5～9歳","0","0","0","0","0","0","0","0","0","0"
"10～14歳","1","0","0","0","0","0","0","0","0","0"
"15～19歳","9","3","2","1","1","0","0","0","0","0"
"20～24歳","27","9","8","4","1","0","0","1","0","0"
"25～29歳","15","7","9","2","0","0","1","0","0","0"
"30～34歳","20","9","4","1","0","1","0","0","0","0"
"35～39歳","8","5","1","4","2","0","1","1","0","0"
"40～44歳","5","4","2","0","0","0","0","0","0","0"
"45～49歳","1","0","0","1","0","0","1","0","0","0"
"50～54歳","0","3","1","0","1","0","1","0","0","0"
"55～59歳","1","0","0","0","0","0","0","0","0","0"
"60～64歳","0","2","0","0","0","0","0","1","0","0"
"65～69歳","0","1","0","0","0","0","2","0","0","0"
"70歳以上","0","2","0","0","0","0","19","3","0","0"
"合計","87","45","27","13","5","1","28","13","0","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2012年6月"
"集計期間終了月","2012年6月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","7","4","0","0"
"1～4歳","0","0","0","0","0","0","8","14","0","0"
"5～9歳","0","0","0","0","0","0","1","2","0","0"
"10～14歳","1","0","0","0","0","0","3","0","0","0"
"15～19歳","10","4","2","2","1","0","0","0","0","0"
"20～24歳","42","12","12","20","1","1","0","1","0","0"
"25～29歳","40","12","16","20","0","1","2","0","0","0"
"30～34歳","45","21","16","18","1","2","1","3","0","0"
"35～39歳","22","17","9","14","2","0","3","1","0","0"
"40～44歳","13","9","10","9","0","0","0","0","0","0"
"45～49歳","10","8","8","6","1","0","2","1","0","0"
"50～54歳","8","9","3","1","1","1","1","1","0","0"
"55～59歳","3","4","1","1","0","0","3","1","0","0"
"60～64歳","0","3","2","1","0","0","6","1","0","0"
"65～69歳","1","3","0","0","0","0","5","2","0","0"
"70歳以上","0","8","1","0","0","0","43","11","0","0"
"合計","195","110","80","92","7","5","85","42","0","0"
"定点数","54","54","54","54","54","54","25","25","25","25"


