"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2010年23週
"集計期間終了週",2010年23週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","8","5","13","285"
"RSウイルス感染症","1","4","5","149"
"咽頭結膜熱","29","30","59","149"
"Ａ群溶血性レンサ球菌咽頭炎","192","159","351","149"
"感染性胃腸炎","589","488","1077","149"
"水痘","146","156","302","149"
"手足口病","71","51","122","149"
"伝染性紅斑","50","48","98","149"
"突発性発しん","40","51","91","149"
"百日咳","15","21","36","149"
"ヘルパンギーナ","92","66","158","149"
"流行性耳下腺炎","74","70","144","149"
"不明発しん症","18","11","29","149"
"川崎病","1","1","2","149"
"急性出血性結膜炎","3","1","4","38"
"流行性角結膜炎","7","6","13","38"
"細菌性髄膜炎","0","0","0","24"
"無菌性髄膜炎","1","1","2","24"
"マイコプラズマ肺炎","5","4","9","24"
"クラミジア肺炎(オウム病は除く)","0","0","0","24"
