"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2002年40週
"集計期間終了週",2002年40週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","178"
"RSウイルス感染症","0","0","0","142"
"咽頭結膜熱","7","1","8","142"
"Ａ群溶血性レンサ球菌咽頭炎","18","24","42","142"
"感染性胃腸炎","173","150","323","142"
"水痘","32","32","64","142"
"手足口病","20","15","35","142"
"伝染性紅斑","2","3","5","142"
"突発性発しん","44","58","102","142"
"百日咳","2","1","3","142"
"風しん","1","0","1","142"
"ヘルパンギーナ","11","7","18","142"
"麻しん（成人麻しん以外）","0","1","1","142"
"流行性耳下腺炎","23","25","48","142"
"不明発しん症","4","6","10","142"
"川崎病","0","0","0","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","11","4","15","14"
"急性脳炎(日本脳炎を除く)","0","0","0","25"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","2","1","3","25"
"マイコプラズマ肺炎","1","2","3","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"成人麻しん","0","0","0","25"
