"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2014年5月"
"集計期間終了月","2014年5月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","33","37","14","29","0","0","5","0","0","0","",""
"区南部","13","1","5","5","0","0","2","0","0","0","",""
"区西南部","4","2","1","1","0","0","2","1","0","0","",""
"区西部","31","20","20","27","0","5","7","3","0","0","",""
"区西北部","14","3","2","8","0","0","4","3","1","0","",""
"区東北部","0","0","0","0","0","0","3","2","0","0","",""
"区東部","19","11","0","8","0","2","3","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","1","0","0","0","",""
"北多摩西部","0","0","0","0","0","0","1","0","0","0","",""
"北多摩南部","1","0","0","0","0","0","10","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","115","74","42","78","0","7","38","10","1","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2014年5月"
"集計期間終了月","2014年5月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","41","8","7","37","9","5","4","0","0","0","",""
"区南部","11","0","0","0","0","0","0","1","0","0","",""
"区西南部","5","7","2","1","0","1","1","1","0","0","",""
"区西部","5","4","5","5","1","0","6","1","1","0","",""
"区西北部","18","6","2","1","1","0","3","1","0","0","",""
"区東北部","8","1","1","1","0","0","1","1","0","0","",""
"区東部","7","4","4","0","1","0","1","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","6","5","0","0","2","0","0","0","0","0","",""
"北多摩西部","8","1","0","2","1","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","21","0","0","0","",""
"北多摩北部","1","0","1","0","1","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","110","36","22","47","16","6","37","6","1","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2014年5月"
"集計期間終了月","2014年5月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","74","45","21","66","9","5","9","0","0","0","10","4"
"区南部","24","1","5","5","0","0","2","1","0","0","3","1"
"区西南部","9","9","3","2","0","1","3","2","0","0","4","3"
"区西部","36","24","25","32","1","5","13","4","1","0","11","4"
"区西北部","32","9","4","9","1","0","7","4","1","0","6","2"
"区東北部","8","1","1","1","0","0","4","3","0","0","3","1"
"区東部","26","15","4","8","1","2","4","1","0","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","6","5","0","0","2","0","1","0","0","0","5","1"
"北多摩西部","8","1","0","2","1","0","1","0","0","0","2","1"
"北多摩南部","1","0","0","0","0","0","31","0","0","0","3","3"
"北多摩北部","1","0","1","0","1","0","0","1","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","0","1"
"合計","225","110","64","125","16","13","75","16","2","0","54","25"


