"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2006年29週
"集計期間終了週",2006年29週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","2","2","178"
"RSウイルス感染症","1","0","1","142"
"咽頭結膜熱","84","72","156","142"
"Ａ群溶血性レンサ球菌咽頭炎","68","63","131","142"
"感染性胃腸炎","213","173","386","142"
"水痘","78","66","144","142"
"手足口病","61","45","106","142"
"伝染性紅斑","34","33","67","142"
"突発性発しん","50","42","92","142"
"百日咳","0","0","0","142"
"風しん","0","0","0","142"
"ヘルパンギーナ","142","123","265","142"
"麻しん（成人麻しん以外）","0","0","0","142"
"流行性耳下腺炎","55","48","103","142"
"不明発しん症","34","11","45","142"
"川崎病","0","0","0","142"
"急性出血性結膜炎","0","1","1","14"
"流行性角結膜炎","8","5","13","14"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","3","2","5","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
