"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2020年10週
"集計期間終了週",2020年10週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","504","464","968","415"
"RSウイルス感染症","22","25","47","261"
"咽頭結膜熱","32","30","62","261"
"Ａ群溶血性レンサ球菌咽頭炎","409","348","757","261"
"感染性胃腸炎","521","549","1070","261"
"水痘","50","46","96","261"
"手足口病","9","5","14","261"
"伝染性紅斑","6","11","17","261"
"突発性発しん","45","27","72","261"
"ヘルパンギーナ","3","6","9","261"
"流行性耳下腺炎","9","7","16","261"
"不明発しん症","7","6","13","261"
"川崎病","0","0","0","261"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","2","2","4","38"
"細菌性髄膜炎","1","0","1","24"
"無菌性髄膜炎","0","0","0","24"
"マイコプラズマ肺炎","2","5","7","24"
"クラミジア肺炎(オウム病は除く)","2","1","3","24"
"感染性胃腸炎（ロタウイルス）","0","0","0","24"
"インフルエンザ入院","0","2","2","25"
