"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2011年8月"
"集計期間終了月","2011年8月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","4","1","0","0"
"1～4歳","0","0","0","0","0","0","13","7","0","0"
"5～9歳","0","0","0","0","0","0","6","1","0","0"
"10～14歳","0","0","0","0","0","0","3","3","0","0"
"15～19歳","4","0","0","3","0","1","1","1","0","0"
"20～24歳","16","2","5","14","0","2","0","0","0","0"
"25～29歳","25","7","8","21","0","0","2","0","0","0"
"30～34歳","22","11","10","24","0","3","0","0","0","0"
"35～39歳","22","11","14","11","0","0","0","0","0","0"
"40～44歳","17","10","5","6","0","2","3","0","0","0"
"45～49歳","10","13","6","7","0","0","2","0","0","0"
"50～54歳","11","7","1","3","0","1","5","0","0","0"
"55～59歳","4","3","3","2","0","0","1","0","0","0"
"60～64歳","0","2","1","0","0","1","2","3","1","0"
"65～69歳","1","3","0","0","0","0","6","3","0","0"
"70歳以上","0","3","0","0","0","0","27","11","1","0"
"合計","132","72","53","91","0","10","75","30","2","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2011年8月"
"集計期間終了月","2011年8月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","17","3","0","0"
"1～4歳","0","0","0","0","0","0","2","2","0","0"
"5～9歳","0","0","0","0","0","0","4","1","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0","0"
"15～19歳","10","2","2","3","0","0","0","0","0","0"
"20～24歳","33","6","7","5","2","0","0","0","0","0"
"25～29歳","34","11","7","3","2","0","0","0","0","0"
"30～34歳","18","7","5","3","0","0","2","1","0","0"
"35～39歳","5","3","2","5","1","0","0","0","0","0"
"40～44歳","7","6","0","1","1","0","2","0","0","0"
"45～49歳","4","2","0","0","0","0","2","0","0","0"
"50～54歳","1","0","0","0","0","0","2","0","0","0"
"55～59歳","0","1","0","0","0","0","1","0","0","0"
"60～64歳","0","0","0","0","0","1","3","0","1","0"
"65～69歳","0","0","0","0","1","0","3","0","0","0"
"70歳以上","0","0","0","0","0","1","17","7","0","0"
"合計","112","38","23","20","7","2","55","14","1","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2011年8月"
"集計期間終了月","2011年8月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","21","4","0","0"
"1～4歳","0","0","0","0","0","0","15","9","0","0"
"5～9歳","0","0","0","0","0","0","10","2","0","0"
"10～14歳","0","0","0","0","0","0","3","3","0","0"
"15～19歳","14","2","2","6","0","1","1","1","0","0"
"20～24歳","49","8","12","19","2","2","0","0","0","0"
"25～29歳","59","18","15","24","2","0","2","0","0","0"
"30～34歳","40","18","15","27","0","3","2","1","0","0"
"35～39歳","27","14","16","16","1","0","0","0","0","0"
"40～44歳","24","16","5","7","1","2","5","0","0","0"
"45～49歳","14","15","6","7","0","0","4","0","0","0"
"50～54歳","12","7","1","3","0","1","7","0","0","0"
"55～59歳","4","4","3","2","0","0","2","0","0","0"
"60～64歳","0","2","1","0","0","2","5","3","2","0"
"65～69歳","1","3","0","0","1","0","9","3","0","0"
"70歳以上","0","3","0","0","0","1","44","18","1","0"
"合計","244","110","76","111","7","12","130","44","3","0"
"定点数","55","55","55","55","55","55","25","25","25","25"


