"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年32週
"集計期間終了週",2025年32週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","56","51","107","413"
"新型コロナウイルス感染症（COVID-19）","870","1080","1950","413"
"急性呼吸器感染症（ARI）","10506","10786","21292","413"
"RSウイルス感染症","118","139","257","258"
"咽頭結膜熱","37","46","83","258"
"Ａ群溶血性レンサ球菌咽頭炎","281","202","483","258"
"感染性胃腸炎","632","551","1183","258"
"水痘","49","43","92","258"
"手足口病","77","75","152","258"
"伝染性紅斑","52","56","108","258"
"突発性発しん","47","37","84","258"
"ヘルパンギーナ","264","283","547","258"
"流行性耳下腺炎","4","5","9","258"
"不明発しん症","25","25","50","258"
"川崎病","1","3","4","258"
"急性出血性結膜炎","1","0","1","37"
"流行性角結膜炎","11","15","26","37"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","3","3","25"
"マイコプラズマ肺炎","5","7","12","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","3","1","4","25"
"COVID-19入院","71","47","118","25"
