"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2006年52週
"集計期間終了週",2006年52週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2","9","11","178"
"RSウイルス感染症","81","76","157","142"
"咽頭結膜熱","21","20","41","142"
"Ａ群溶血性レンサ球菌咽頭炎","65","79","144","142"
"感染性胃腸炎","792","822","1614","142"
"水痘","128","117","245","142"
"手足口病","13","13","26","142"
"伝染性紅斑","26","29","55","142"
"突発性発しん","38","15","53","142"
"百日咳","0","1","1","142"
"風しん","0","0","0","142"
"ヘルパンギーナ","3","2","5","142"
"麻しん（成人麻しん以外）","0","0","0","142"
"流行性耳下腺炎","24","22","46","142"
"不明発しん症","6","5","11","142"
"川崎病","0","1","1","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","10","7","17","14"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","3","5","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"成人麻しん","0","0","0","25"
