"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2025年7月"
"集計期間終了月","2025年7月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","3","0","1","0","0","0","3","0","0","",""
"中央区","1","1","1","1","0","0","0","0","0","",""
"みなと","4","3","16","2","0","0","0","0","0","",""
"新宿区","22","12","18","15","1","0","4","0","1","",""
"文京","4","1","1","1","0","0","1","0","0","",""
"台東","0","0","1","0","0","0","0","0","0","",""
"墨田区","3","1","0","1","0","0","7","0","0","",""
"江東区","6","4","3","4","0","0","0","0","0","",""
"品川区","41","9","8","24","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","0","0","0","0","0","0","2","0","0","",""
"世田谷","0","0","0","0","0","0","1","0","0","",""
"渋谷区","8","4","1","1","1","0","3","0","0","",""
"中野区","4","0","0","3","0","0","0","0","0","",""
"杉並","2","0","0","0","0","0","1","0","0","",""
"池袋","11","0","2","3","0","0","2","0","0","",""
"北区","1","0","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","0","0","1","0","0","0","3","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","0","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","1","0","0","",""
"江戸川","4","2","0","1","0","0","0","0","0","",""
"八王子市","0","0","0","0","0","0","5","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","1","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","0","5","1","0","",""
"多摩小平","0","0","0","0","0","0","3","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","114","37","53","57","2","0","41","1","1","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2025年7月"
"集計期間終了月","2025年7月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","1","0","0","",""
"中央区","0","1","0","0","0","0","0","0","0","",""
"みなと","3","0","0","0","0","0","0","0","0","",""
"新宿区","10","2","8","0","1","0","5","0","2","",""
"文京","0","1","0","0","0","0","1","0","0","",""
"台東","6","2","3","7","0","0","0","0","0","",""
"墨田区","0","0","1","0","0","0","3","0","0","",""
"江東区","1","0","0","0","0","0","0","0","0","",""
"品川区","18","3","0","3","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","1","2","0","0","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","0","3","0","0","",""
"渋谷区","10","6","8","1","2","0","1","0","0","",""
"中野区","0","0","0","0","0","0","0","0","0","",""
"杉並","1","0","0","0","0","0","2","0","1","",""
"池袋","1","0","0","1","0","0","0","0","0","",""
"北区","0","0","0","0","0","0","0","0","0","",""
"荒川区","3","0","0","0","0","0","0","0","0","",""
"板橋区","0","0","0","0","0","0","2","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","7","0","1","0","0","0","0","0","0","",""
