"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2014年3月"
"集計期間終了月","2014年3月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","32","35","17","18","0","1","3","2","1","0","",""
"区南部","9","4","0","2","1","0","3","0","0","0","",""
"区西南部","10","2","1","2","0","0","3","1","0","0","",""
"区西部","23","10","26","19","0","3","9","4","0","0","",""
"区西北部","17","8","5","13","0","1","6","1","0","0","",""
"区東北部","1","0","0","1","0","0","2","1","0","0","",""
"区東部","11","9","6","6","0","0","5","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","2","0","0","0","",""
"北多摩西部","2","0","0","0","0","0","1","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","13","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","1","1","0","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","0","",""
"合計","105","68","55","61","1","5","49","11","1","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2014年3月"
"集計期間終了月","2014年3月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","7","7","7","0","1","0","4","0","0","0","",""
"区南部","6","1","0","0","0","0","1","0","0","0","",""
"区西南部","4","8","2","0","1","0","2","0","0","0","",""
"区西部","5","10","9","5","0","0","5","0","0","0","",""
"区西北部","15","5","1","3","0","0","2","1","0","0","",""
"区東北部","4","1","0","1","0","0","2","1","0","0","",""
"区東部","10","1","3","0","1","0","3","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","1","0","",""
"南多摩","7","5","1","1","0","0","0","0","0","0","",""
"北多摩西部","11","2","1","2","0","0","0","0","0","0","",""
"北多摩南部","0","0","1","0","0","0","16","0","0","0","",""
"北多摩北部","1","1","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","70","41","25","12","3","0","35","2","1","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2014年3月"
"集計期間終了月","2014年3月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","39","42","24","18","1","1","7","2","1","0","10","4"
"区南部","15","5","0","2","1","0","4","0","0","0","3","1"
"区西南部","14","10","3","2","1","0","5","1","0","0","5","3"
"区西部","28","20","35","24","0","3","14","4","0","0","11","4"
"区西北部","32","13","6","16","0","1","8","2","0","0","6","2"
"区東北部","5","1","0","2","0","0","4","2","0","0","3","1"
"区東部","21","10","9","6","1","0","8","1","0","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","1","0","0","1"
"南多摩","7","5","1","1","0","0","2","0","0","0","5","1"
"北多摩西部","13","2","1","2","0","0","1","0","0","0","2","1"
"北多摩南部","0","0","1","0","0","0","29","0","0","0","3","3"
"北多摩北部","1","1","0","0","0","0","1","1","0","0","1","2"
"島しょ","0","0","0","0","0","0","1","0","0","0","0","1"
"合計","175","109","80","73","4","5","84","13","2","0","55","25"


