"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2017年27週
"集計期間終了週",2017年27週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","22","23","45","413"
"RSウイルス感染症","66","50","116","261"
"咽頭結膜熱","144","111","255","261"
"Ａ群溶血性レンサ球菌咽頭炎","405","363","768","261"
"感染性胃腸炎","744","660","1404","261"
"水痘","50","58","108","261"
"手足口病","604","486","1090","261"
"伝染性紅斑","12","21","33","261"
"突発性発しん","83","85","168","261"
"百日咳","3","1","4","261"
"ヘルパンギーナ","153","161","314","261"
"流行性耳下腺炎","55","36","91","261"
"不明発しん症","23","16","39","261"
"川崎病","4","0","4","261"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","20","10","30","39"
"細菌性髄膜炎","2","0","2","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","3","3","6","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
