"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2009年41週
"集計期間終了週",2009年41週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2918","2487","5405","286"
"RSウイルス感染症","5","9","14","148"
"咽頭結膜熱","5","1","6","148"
"Ａ群溶血性レンサ球菌咽頭炎","59","46","105","148"
"感染性胃腸炎","164","148","312","148"
"水痘","27","23","50","148"
"手足口病","64","42","106","148"
"伝染性紅斑","5","11","16","148"
"突発性発しん","50","33","83","148"
"百日咳","3","1","4","148"
"ヘルパンギーナ","18","28","46","148"
"流行性耳下腺炎","44","41","85","148"
"不明発しん症","2","2","4","148"
"川崎病","1","1","2","148"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","12","4","16","39"
"細菌性髄膜炎","0","0","0","24"
"無菌性髄膜炎","0","1","1","24"
"マイコプラズマ肺炎","1","1","2","24"
"クラミジア肺炎(オウム病は除く)","0","0","0","24"
