"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2008年37週
"集計期間終了週",2008年37週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2","0","2","282"
"RSウイルス感染症","19","21","40","145"
"咽頭結膜熱","27","22","49","145"
"Ａ群溶血性レンサ球菌咽頭炎","64","64","128","145"
"感染性胃腸炎","263","223","486","145"
"水痘","33","21","54","145"
"手足口病","93","76","169","145"
"伝染性紅斑","4","5","9","145"
"突発性発しん","58","61","119","145"
"百日咳","1","0","1","145"
"ヘルパンギーナ","71","66","137","145"
"流行性耳下腺炎","36","29","65","145"
"不明発しん症","7","9","16","145"
"川崎病","0","0","0","145"
"急性出血性結膜炎","3","0","3","39"
"流行性角結膜炎","10","11","21","39"
"細菌性髄膜炎","0","0","0","24"
"無菌性髄膜炎","0","1","1","24"
"マイコプラズマ肺炎","3","5","8","24"
"クラミジア肺炎(オウム病は除く)","0","1","1","24"
