"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2023年30週"
"集計期間終了週","2023年30週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","3","32","8","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","4","15","0","0","0","13","0","2","0","1","3","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","7","42","4","4","3","1","0","2","0","2","8","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","6","41","4","1","4","9","0","0","0","0","6","0","1","0","0","3","0","0","0","0","0","0","","","","","",""
"文京","3","38","2","1","1","4","0","1","0","0","7","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","2","21","6","2","2","12","0","4","0","2","17","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","5","98","1","0","2","7","0","1","0","0","7","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","5","62","1","1","5","25","0","2","0","2","8","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","4","38","10","0","8","11","0","5","0","0","12","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","8","32","2","7","1","6","0","2","0","0","8","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","44","103","10","3","17","53","0","9","0","0","33","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","16","161","17","4","18","15","0","4","0","2","28","1","0","0","0","1","0","0","0","0","0","1","","","","","",""
