"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2017年42週"
"集計期間終了週","2017年42週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","3","0","0","4","14","1","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","3","2","1","3","12","0","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","0","10","1","10","14","0","5","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"文京","0","0","1","2","3","0","5","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","2","3","0","6","12","0","10","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","2","2","1","4","4","2","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","3","2","5","12","34","1","6","0","2","0","0","1","4","0","0","1","0","0","0","0","0","0","","","","","",""
"品川区","1","2","0","3","18","0","8","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","4","0","3","11","6","8","0","1","1","3","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","6","4","3","23","37","1","11","1","3","0","6","3","1","0","0","2","0","0","0","0","0","0","","","","","",""
"世田谷","4","10","2","39","20","3","21","2","5","0","11","1","1","0","0","0","2","1","0","0","0","0","","","","","",""
"渋谷区","0","0","1","0","7","0","5","0","2","0","0","0","0","0","0","1","0","0","1","0","0","0","","","","","",""
"中野区","3","3","1","3","16","3","8","1","2","0","4","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","5","0","3","3","22","2","5","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","0","0","0","1","4","0","1","0","0","0","0","1","0","0","0","2","0","0","1","0","0","0","","","","","",""
"北区","1","0","1","1","7","1","5","0","5","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","0","1","2","8","10","0","6","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"板橋区","3","0","1","2","9","0","6","1","0","0","3","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","2","3","4","25","20","0","19","0","2","1","2","5","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","8","3","1","3","40","2","13","0","3","0","1","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"葛飾区","1","0","1","4","27","5","23","0","1","0","2","0","0","0","0","4","0","0","0","0","0","0","","","","","",""
"江戸川","0","3","2","17","49","1","10","1","3","0","3","3","1","0","0","2","0","0","0","0","0","0","","","","","",""
"八王子市","0","4","0","22","39","7","24","0","2","0","1","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","1","0","0","12","28","2","17","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","3","2","3","2","1","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","3","1","9","24","0","16","0","3","0","2","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","2","2","0","14","10","3","10","1","2","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","1","4","3","15","34","6","31","0","8","0","8","1","3","0","0","0","0","0","1","0","0","0","","","","","",""
"多摩小平","0","4","11","36","19","6","34","0","6","0","13","3","2","0","0","1","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","51","72","48","288","548","53","337","8","56","2","70","33","13","2","0","15","2","1","3","0","0","0","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2017年42週"
"集計期間終了週","2017年42週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","1","0","0","1","6","0","4","0","1","0","0","0","2","0","0","2","0","0","0","0","0","0","","","","","",""
"みなと","1","0","1","2","11","2","3","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","2","8","1","5","15","0","3","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"文京","0","1","1","2","4","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","3","0","0","1","9","0","9","0","4","0","3","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","1","2","0","2","7","0","5","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"江東区","1","1","2","9","23","0","8","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","0","2","4","2","13","0","4","0","2","0","3","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","1","1","0","10","10","1","8","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","9","2","2","17","29","3","16","0","0","0","6","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","5","1","0","20","11","3","14","0","5","0","5","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","1","0","0","1","9","0","4","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","3","2","2","6","20","3","8","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","4","0","2","4","17","3","8","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"池袋","0","2","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","","","","","",""
"北区","1","1","1","1","10","2","3","0","3","0","1","1","0","1","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","1","3","1","9","2","1","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","2","0","1","4","10","2","5","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","2","2","1","21","19","1","15","0","4","1","5","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","5","6","2","7","24","1","10","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","0","0","0","4","26","6","29","0","3","0","3","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","1","3","7","14","27","1","15","0","0","0","1","2","0","0","0","2","0","0","0","0","0","0","","","","","",""
"八王子市","1","6","2","21","32","1","23","2","3","0","3","3","2","0","0","1","0","0","0","0","0","0","","","","","",""
"町田市","0","0","0","5","30","2","6","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","3","0","2","12","0","10","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","","","","","",""
"南多摩","0","0","2","9","9","3","8","0","4","0","7","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","0","6","1","18","15","2","7","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","2","5","2","14","38","4","24","0","7","0","6","2","3","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","1","3","5","24","23","5","32","1","6","0","15","2","2","0","0","0","0","0","2","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","48","60","41","236","467","47","286","8","63","1","76","19","14","2","0","7","0","0","3","1","0","0","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2017年42週"
"集計期間終了週","2017年42週"
"性別","男女合計"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","2","2","0"
"中央区","4","0","0","5","20","1","6","0","2","0","0","1","2","0","0","2","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","4","2","2","5","23","2","10","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","9","6","0","1","1","0"
"新宿区","2","18","2","15","29","0","8","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","12","8","2","2","2","0"
"文京","0","1","2","4","7","1","8","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","7","4","1","1","1","0"
"台東","5","3","0","7","21","0","19","0","5","0","5","1","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","3","4","1","6","11","2","11","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","8","5","1","1","1","0"
"江東区","4","3","7","21","57","1","14","0","5","0","1","1","4","0","0","1","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","1","4","4","5","31","0","12","0","2","0","4","1","0","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","1","5","0","13","21","7","16","0","1","1","8","5","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","15","6","5","40","66","4","27","1","3","0","12","4","2","0","0","2","0","0","0","0","0","0","21","13","2","1","1","0"
"世田谷","9","11","2","59","31","6","35","2","10","0","16","1","2","0","0","0","2","1","0","0","0","0","25","16","2","2","2","0"
"渋谷区","1","0","1","1","16","0","9","1","4","0","0","0","0","0","0","1","0","0","1","0","0","0","7","4","1","1","1","0"
"中野区","6","5","3","9","36","6","16","3","4","0","4","2","1","0","0","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","9","0","5","7","39","5","13","0","2","0","0","1","2","0","0","1","0","0","0","0","0","0","15","11","1","2","2","0"
"池袋","0","2","1","2","7","0","1","0","0","0","0","1","0","0","0","2","0","0","1","1","0","0","7","4","1","1","1","0"
"北区","2","1","2","2","17","3","8","0","8","0","3","1","0","1","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","1","4","3","17","12","1","8","0","1","0","3","0","0","0","0","1","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","5","0","2","6","19","2","11","3","1","0","4","1","0","0","0","0","0","0","0","0","0","0","16","10","2","1","1","0"
"練馬区","4","5","5","46","39","1","34","0","6","2","7","8","0","0","0","0","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","13","9","3","10","64","3","23","0","5","0","3","0","0","0","0","1","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","1","0","1","8","53","11","52","0","4","0","5","0","1","0","0","4","0","0","0","0","0","0","13","8","1","1","1","0"
"江戸川","1","6","9","31","76","2","25","1","3","0","4","5","1","0","0","4","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","1","10","2","43","71","8","47","2","5","0","4","5","2","0","0","1","0","0","0","0","0","0","18","11","2","1","1","0"
"町田市","1","0","0","17","58","4","23","0","2","0","3","2","0","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","0","6","2","5","14","1","24","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","14","8","1","1","1","0"
