"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2020年21週
"集計期間終了週",2020年21週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","1","0","1","411"
"RSウイルス感染症","0","1","1","260"
"咽頭結膜熱","4","1","5","260"
"Ａ群溶血性レンサ球菌咽頭炎","32","45","77","260"
"感染性胃腸炎","140","122","262","260"
"水痘","10","12","22","260"
"手足口病","6","8","14","260"
"伝染性紅斑","2","3","5","260"
"突発性発しん","45","31","76","260"
"ヘルパンギーナ","1","1","2","260"
"流行性耳下腺炎","7","2","9","260"
"不明発しん症","5","7","12","260"
"川崎病","4","1","5","260"
"急性出血性結膜炎","0","0","0","37"
"流行性角結膜炎","0","0","0","37"
"細菌性髄膜炎","1","1","2","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","2","2","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
