"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2016年31週
"集計期間終了週",2016年31週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","5","5","407"
"RSウイルス感染症","51","42","93","259"
"咽頭結膜熱","41","37","78","259"
"Ａ群溶血性レンサ球菌咽頭炎","222","206","428","259"
"感染性胃腸炎","626","516","1142","259"
"水痘","42","44","86","259"
"手足口病","140","123","263","259"
"伝染性紅斑","21","27","48","259"
"突発性発しん","64","81","145","259"
"百日咳","2","5","7","259"
"ヘルパンギーナ","721","637","1358","259"
"流行性耳下腺炎","113","123","236","259"
"不明発しん症","14","15","29","259"
"川崎病","2","1","3","259"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","11","10","21","39"
"細菌性髄膜炎","0","2","2","25"
"無菌性髄膜炎","2","0","2","25"
"マイコプラズマ肺炎","9","14","23","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
