"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2012年22週
"集計期間終了週",2012年22週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","26","16","42","415"
"RSウイルス感染症","15","22","37","261"
"咽頭結膜熱","93","65","158","261"
"Ａ群溶血性レンサ球菌咽頭炎","452","420","872","261"
"感染性胃腸炎","1376","1161","2537","261"
"水痘","150","130","280","261"
"手足口病","35","46","81","261"
"伝染性紅斑","19","24","43","261"
"突発性発しん","116","97","213","261"
"百日咳","5","4","9","261"
"ヘルパンギーナ","43","26","69","261"
"流行性耳下腺炎","40","35","75","261"
"不明発しん症","10","10","20","261"
"川崎病","3","3","6","261"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","21","18","39","38"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","1","1","2","25"
"マイコプラズマ肺炎","6","9","15","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"インフルエンザ入院","0","1","1","25"
