"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2010年11月"
"集計期間終了月","2010年11月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","4","0"
"1～4歳","0","0","0","0","0","0","3","9","0"
"5～9歳","0","0","0","0","0","0","1","3","0"
"10～14歳","0","0","0","0","0","0","4","0","0"
"15～19歳","2","0","2","2","0","0","0","0","0"
"20～24歳","18","1","5","13","0","1","0","0","0"
"25～29歳","15","5","5","14","0","1","1","1","0"
"30～34歳","22","15","8","15","0","1","1","2","0"
"35～39歳","15","8","10","8","0","1","1","0","0"
"40～44歳","17","6","7","9","0","0","2","0","0"
"45～49歳","8","7","7","7","0","0","0","0","0"
"50～54歳","3","5","1","3","0","2","5","2","0"
"55～59歳","4","3","3","3","0","0","3","0","0"
"60～64歳","2","4","1","2","0","0","7","1","1"
"65～69歳","3","2","0","0","0","0","5","2","0"
"70歳以上","0","3","0","0","0","0","36","9","0"
"合計","109","59","49","76","0","6","72","33","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2010年11月"
"集計期間終了月","2010年11月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","6","3","0"
"1～4歳","0","0","0","0","0","0","8","11","0"
"5～9歳","0","0","0","0","0","0","1","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","15","1","2","1","2","0","0","0","0"
"20～24歳","30","8","4","6","2","0","0","0","0"
"25～29歳","23","9","2","1","3","0","1","2","0"
"30～34歳","18","6","2","0","3","0","0","0","0"
"35～39歳","5","3","0","0","2","0","4","0","0"
"40～44歳","2","3","1","1","1","0","0","2","0"
"45～49歳","1","3","1","0","1","0","1","0","0"
"50～54歳","0","2","0","0","0","0","0","0","0"
"55～59歳","0","0","0","0","0","0","1","0","0"
"60～64歳","0","0","1","0","0","0","1","1","0"
"65～69歳","0","1","1","0","1","0","3","0","0"
"70歳以上","0","1","0","0","0","0","16","4","1"
"合計","94","37","14","9","15","0","42","23","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2010年11月"
"集計期間終了月","2010年11月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","9","7","0"
"1～4歳","0","0","0","0","0","0","11","20","0"
"5～9歳","0","0","0","0","0","0","2","3","0"
"10～14歳","0","0","0","0","0","0","4","0","0"
"15～19歳","17","1","4","3","2","0","0","0","0"
"20～24歳","48","9","9","19","2","1","0","0","0"
"25～29歳","38","14","7","15","3","1","2","3","0"
"30～34歳","40","21","10","15","3","1","1","2","0"
"35～39歳","20","11","10","8","2","1","5","0","0"
"40～44歳","19","9","8","10","1","0","2","2","0"
"45～49歳","9","10","8","7","1","0","1","0","0"
"50～54歳","3","7","1","3","0","2","5","2","0"
"55～59歳","4","3","3","3","0","0","4","0","0"
"60～64歳","2","4","2","2","0","0","8","2","1"
"65～69歳","3","3","1","0","1","0","8","2","0"
"70歳以上","0","4","0","0","0","0","52","13","1"
"合計","203","96","63","85","15","6","114","56","2"
"定点数","54","54","54","54","54","54","24","24","24"


