"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2008年42週"
"集計期間終了週","2008年42週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","0","10","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","0","8","1","0","18","1","4","0","16","1","2","0","1","0","0","0","0","0","0","0"
"1歳","1","20","3","1","40","10","19","0","31","0","5","4","1","0","0","0","0","0","0","0"
"2歳","0","6","0","7","32","12","13","1","4","0","2","3","0","0","0","0","0","0","0","0"
"3歳","0","5","1","7","23","9","7","1","0","1","1","9","0","0","0","0","0","0","0","0"
"4歳","0","3","3","12","22","5","9","0","0","0","3","13","0","0","0","0","0","0","0","0"
"5歳","0","1","1","21","27","3","6","1","0","0","2","14","0","0","0","0","0","0","0","0"
"6歳","1","0","0","12","11","2","2","0","0","0","1","8","0","0","0","0","0","0","0","0"
"7歳","0","0","0","4","13","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","2","8","6","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0"
"9歳","0","0","0","4","5","1","1","0","0","0","0","3","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","6","26","2","2","0","0","0","1","2","0","0","0","0","0","0","0","0"
"15～19歳","0","0","0","1","11","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1"
"20～29歳","1","0","0","2","33","0","0","0","0","0","0","2","0","0","0","1","0","0","1","0"
"30～39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"40～49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"50～59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","5","53","11","85","268","46","66","4","54","2","17","60","2","0","0","4","0","0","3","2"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2008年42週"
"集計期間終了週","2008年42週"
"性別","女性"

