"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2012年25週"
"集計期間終了週","2012年25週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","2","12","15","44","5","16","1","4","0","14","3","0","0","0","3","0","0","0","0","0","","","","","",""
"区南部","0","1","24","32","128","17","2","0","3","3","13","2","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","1","0","6","47","94","10","46","12","5","0","8","3","3","0","0","2","0","0","1","0","0","","","","","",""
"区西部","0","0","1","37","86","6","2","1","9","0","5","2","3","1","0","1","0","0","0","0","0","","","","","",""
"区西北部","0","0","3","36","87","24","7","1","14","1","45","3","1","1","0","3","0","0","1","0","0","","","","","",""
"区東北部","0","0","5","28","118","16","11","0","13","0","20","4","3","0","0","0","0","0","5","0","0","","","","","",""
"区東部","2","1","12","46","148","15","17","2","11","0","29","2","3","1","0","1","0","0","0","0","0","","","","","",""
"西多摩","0","0","1","4","22","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","3","14","87","180","32","25","3","9","0","16","19","11","1","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","0","16","45","8","9","1","4","0","9","1","2","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","3","37","96","24","3","4","15","0","8","4","3","2","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","1","9","37","57","22","4","0","9","1","33","1","2","0","0","3","0","0","1","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3","8","90","422","1105","182","143","25","96","5","200","44","31","6","0","13","0","0","8","0","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2012年25週"
"集計期間終了週","2012年25週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","2","4","11","53","8","13","2","6","0","20","2","0","0","0","3","0","0","2","0","0","","","","","",""
"区南部","0","1","25","32","114","12","6","1","12","3","20","4","1","0","0","1","0","0","0","0","0","","","","","",""
