"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2005年31週
"集計期間終了週",2005年31週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","178"
"RSウイルス感染症","4","5","9","142"
"咽頭結膜熱","36","23","59","142"
"Ａ群溶血性レンサ球菌咽頭炎","41","35","76","142"
"感染性胃腸炎","168","150","318","142"
"水痘","46","41","87","142"
"手足口病","80","81","161","142"
"伝染性紅斑","23","20","43","142"
"突発性発しん","48","40","88","142"
"百日咳","1","0","1","142"
"風しん","0","0","0","142"
"ヘルパンギーナ","168","162","330","142"
"麻しん（成人麻しん以外）","1","0","1","142"
"流行性耳下腺炎","87","89","176","142"
"不明発しん症","2","6","8","142"
"川崎病","0","0","0","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","13","8","21","14"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","1","3","4","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
