"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2019年45週
"集計期間終了週",2019年45週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","234","226","460","415"
"RSウイルス感染症","38","32","70","260"
"咽頭結膜熱","44","35","79","260"
"Ａ群溶血性レンサ球菌咽頭炎","256","233","489","260"
"感染性胃腸炎","559","427","986","260"
"水痘","34","38","72","260"
"手足口病","281","210","491","260"
"伝染性紅斑","30","28","58","260"
"突発性発しん","42","53","95","260"
"ヘルパンギーナ","24","27","51","260"
"流行性耳下腺炎","5","7","12","260"
"不明発しん症","7","2","9","260"
"川崎病","2","3","5","260"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","7","7","14","38"
"細菌性髄膜炎","0","0","0","24"
"無菌性髄膜炎","1","0","1","24"
"マイコプラズマ肺炎","10","15","25","24"
"クラミジア肺炎(オウム病は除く)","0","0","0","24"
"感染性胃腸炎（ロタウイルス）","0","0","0","24"
"インフルエンザ入院","2","3","5","24"
