"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2003年13週"
"集計期間終了週","2003年13週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"～5ヶ月","0","0","0","0","5","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","2","0","0","0","25","4","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","7","0","0","1","66","6","2","0","8","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"2歳","8","0","0","2","43","8","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"3歳","4","0","0","3","41","11","1","2","1","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0"
"4歳","6","0","0","3","36","10","0","1","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0"
"5歳","4","0","1","6","29","11","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"6歳","2","0","0","4","30","13","0","2","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0"
"7歳","3","0","0","3","22","2","0","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"8歳","3","0","0","4","22","5","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"9歳","3","0","0","3","11","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10～14歳","6","0","0","3","31","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"15～19歳","3","0","0","0","7","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"20～29歳","4","0","0","2","61","0","0","0","0","0","1","1","0","0","0","0","0","3","0","0","0","0","0","0"
"30～39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"40～49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"70～79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","62","0","1","34","429","74","4","10","39","0","1","1","1","22","5","0","0","6","0","0","0","0","0","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2003年13週"
"集計期間終了週","2003年13週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"～5ヶ月","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"～1歳","1","0","0","0","26","1","1","0","19","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"1歳","4","0","1","1","51","8","0","1","9","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2歳","5","0","1","1","47","9","1","0","0","0","0","1","0","1","2","1","0","0","0","0","0","0","0","0"
"3歳","6","0","1","3","45","11","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"4歳","4","0","0","4","34","7","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"5歳","8","0","0","2","24","10","1","1","1","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0"
"6歳","2","0","0","2","36","3","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"7歳","1","0","0","3","26","4","0","0","1","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0"
"8歳","1","0","0","3","12","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","0","10","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10～14歳","3","0","0","3","21","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0"
"15～19歳","6","0","0","0","4","0","0","0","0","0","1","0","3","1","0","0","0","0","0","0","0","0","0","0"
"20～29歳","5","0","0","1","81","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"30～39歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"40～49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
