"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2013年1月"
"集計期間終了月","2013年1月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","3","1","0","0"
"1～4歳","0","0","0","0","0","0","5","4","0","0"
"5～9歳","0","0","0","0","0","0","2","0","0","0"
"10～14歳","0","0","0","0","0","0","3","0","0","0"
"15～19歳","1","0","1","2","0","0","0","0","0","0"
"20～24歳","13","3","5","13","1","0","0","0","0","0"
"25～29歳","25","5","11","16","0","0","0","0","0","0"
"30～34歳","18","13","15","8","0","2","0","0","0","0"
"35～39歳","18","10","9","12","0","2","0","0","0","0"
"40～44歳","21","10","6","13","0","2","1","0","0","0"
"45～49歳","11","6","8","4","0","1","1","0","0","0"
"50～54歳","6","1","1","2","0","1","2","0","0","0"
"55～59歳","3","1","0","0","0","0","3","0","0","0"
"60～64歳","0","2","2","2","0","0","3","1","0","0"
"65～69歳","1","1","0","0","0","1","3","0","0","0"
"70歳以上","0","1","1","0","0","0","23","6","1","0"
"合計","117","53","59","72","1","9","49","12","1","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2013年1月"
"集計期間終了月","2013年1月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","4","1","0","0"
"1～4歳","0","0","0","0","0","0","0","2","0","0"
"5～9歳","0","0","0","0","0","0","2","1","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0","0"
"15～19歳","6","2","1","2","1","0","1","0","0","0"
"20～24歳","24","8","9","4","0","0","0","0","0","0"
"25～29歳","12","8","9","1","0","0","1","0","0","0"
"30～34歳","11","7","5","2","1","0","2","0","0","0"
"35～39歳","4","6","2","0","1","0","0","0","0","0"
"40～44歳","2","5","4","0","0","0","0","0","0","0"
"45～49歳","2","2","4","0","2","0","1","0","0","0"
"50～54歳","1","0","0","0","1","1","2","0","0","0"
"55～59歳","0","1","0","0","0","0","0","2","0","0"
"60～64歳","0","1","1","0","1","0","3","0","0","0"
"65～69歳","0","0","0","0","0","0","0","1","0","0"
"70歳以上","0","1","0","0","1","0","6","1","0","0"
"合計","62","41","35","9","8","1","22","8","0","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2013年1月"
"集計期間終了月","2013年1月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","7","2","0","0"
"1～4歳","0","0","0","0","0","0","5","6","0","0"
"5～9歳","0","0","0","0","0","0","4","1","0","0"
"10～14歳","0","0","0","0","0","0","3","0","0","0"
"15～19歳","7","2","2","4","1","0","1","0","0","0"
"20～24歳","37","11","14","17","1","0","0","0","0","0"
"25～29歳","37","13","20","17","0","0","1","0","0","0"
"30～34歳","29","20","20","10","1","2","2","0","0","0"
"35～39歳","22","16","11","12","1","2","0","0","0","0"
"40～44歳","23","15","10","13","0","2","1","0","0","0"
"45～49歳","13","8","12","4","2","1","2","0","0","0"
"50～54歳","7","1","1","2","1","2","4","0","0","0"
"55～59歳","3","2","0","0","0","0","3","2","0","0"
"60～64歳","0","3","3","2","1","0","6","1","0","0"
"65～69歳","1","1","0","0","0","1","3","1","0","0"
"70歳以上","0","2","1","0","1","0","29","7","1","0"
"合計","179","94","94","81","9","10","71","20","1","0"
"定点数","52","52","52","52","52","52","23","23","23","23"


