"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2005年51週
"集計期間終了週",2005年51週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","160","147","307","178"
"RSウイルス感染症","43","44","87","142"
"咽頭結膜熱","41","27","68","142"
"Ａ群溶血性レンサ球菌咽頭炎","125","116","241","142"
"感染性胃腸炎","1298","1323","2621","142"
"水痘","103","107","210","142"
"手足口病","10","7","17","142"
"伝染性紅斑","16","18","34","142"
"突発性発しん","41","28","69","142"
"百日咳","0","0","0","142"
"風しん","1","0","1","142"
"ヘルパンギーナ","3","2","5","142"
"麻しん（成人麻しん以外）","0","0","0","142"
"流行性耳下腺炎","84","69","153","142"
"不明発しん症","2","4","6","142"
"川崎病","0","0","0","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","5","3","8","14"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","0","2","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
