"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2019年38週
"集計期間終了週",2019年38週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","231","206","437","412"
"RSウイルス感染症","237","228","465","260"
"咽頭結膜熱","42","37","79","260"
"Ａ群溶血性レンサ球菌咽頭炎","193","171","364","260"
"感染性胃腸炎","410","339","749","260"
"水痘","36","31","67","260"
"手足口病","381","274","655","260"
"伝染性紅斑","27","22","49","260"
"突発性発しん","58","65","123","260"
"ヘルパンギーナ","153","145","298","260"
"流行性耳下腺炎","13","9","22","260"
"不明発しん症","8","6","14","260"
"川崎病","3","2","5","260"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","7","5","12","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","4","6","10","25"
"クラミジア肺炎(オウム病は除く)","1","2","3","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","2","2","4","25"
