"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2011年11週
"集計期間終了週",2011年11週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","3109","3207","6316","414"
"RSウイルス感染症","15","7","22","259"
"咽頭結膜熱","38","35","73","259"
"Ａ群溶血性レンサ球菌咽頭炎","277","247","524","259"
"感染性胃腸炎","1148","962","2110","259"
"水痘","160","146","306","259"
"手足口病","8","2","10","259"
"伝染性紅斑","56","51","107","259"
"突発性発しん","56","68","124","259"
"百日咳","1","1","2","259"
"ヘルパンギーナ","1","1","2","259"
"流行性耳下腺炎","37","29","66","259"
"不明発しん症","8","8","16","259"
"川崎病","4","2","6","259"
"急性出血性結膜炎","0","1","1","36"
"流行性角結膜炎","8","6","14","36"
"細菌性髄膜炎","0","1","1","23"
"無菌性髄膜炎","0","1","1","23"
"マイコプラズマ肺炎","5","5","10","23"
"クラミジア肺炎(オウム病は除く)","0","0","0","23"
"インフルエンザ入院","0","0","0","25"
