"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2003年19週
"集計期間終了週",2003年19週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","178"
"RSウイルス感染症","0","0","0","142"
"咽頭結膜熱","11","10","21","142"
"Ａ群溶血性レンサ球菌咽頭炎","45","42","87","142"
"感染性胃腸炎","251","186","437","142"
"水痘","94","86","180","142"
"手足口病","8","14","22","142"
"伝染性紅斑","15","19","34","142"
"突発性発しん","41","40","81","142"
"百日咳","0","0","0","142"
"風しん","1","2","3","142"
"ヘルパンギーナ","6","5","11","142"
"麻しん（成人麻しん以外）","5","8","13","142"
"流行性耳下腺炎","16","14","30","142"
"不明発しん症","4","5","9","142"
"川崎病","0","1","1","142"
"急性出血性結膜炎","0","1","1","14"
"流行性角結膜炎","10","5","15","14"
"急性脳炎(日本脳炎を除く)","0","0","0","25"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","1","1","2","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
