"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2018年18週
"集計期間終了週",2018年18週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","43","53","96","405"
"RSウイルス感染症","23","18","41","253"
"咽頭結膜熱","42","26","68","253"
"Ａ群溶血性レンサ球菌咽頭炎","203","154","357","253"
"感染性胃腸炎","449","391","840","253"
"水痘","29","29","58","253"
"手足口病","9","6","15","253"
"伝染性紅斑","35","37","72","253"
"突発性発しん","54","52","106","253"
"ヘルパンギーナ","6","2","8","253"
"流行性耳下腺炎","6","6","12","253"
"不明発しん症","3","2","5","253"
"川崎病","3","0","3","253"
"急性出血性結膜炎","0","0","0","37"
"流行性角結膜炎","3","8","11","37"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","2","4","6","25"
"インフルエンザ入院","0","3","3","25"
