"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2023年16週
"集計期間終了週",2023年16週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","407","349","756","412"
"RSウイルス感染症","55","55","110","259"
"咽頭結膜熱","31","25","56","259"
"Ａ群溶血性レンサ球菌咽頭炎","121","69","190","259"
"感染性胃腸炎","737","617","1354","259"
"水痘","14","9","23","259"
"手足口病","36","16","52","259"
"伝染性紅斑","2","2","4","259"
"突発性発しん","53","47","100","259"
"ヘルパンギーナ","21","27","48","259"
"流行性耳下腺炎","9","3","12","259"
"不明発しん症","4","10","14","259"
"川崎病","1","1","2","259"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","1","7","8","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","4","4","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","3","3","6","25"
