"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2023年14週
"集計期間終了週",2023年14週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","502","451","953","411"
"RSウイルス感染症","33","31","64","260"
"咽頭結膜熱","17","13","30","260"
"Ａ群溶血性レンサ球菌咽頭炎","54","45","99","260"
"感染性胃腸炎","550","404","954","260"
"水痘","19","12","31","260"
"手足口病","4","7","11","260"
"伝染性紅斑","0","4","4","260"
"突発性発しん","36","33","69","260"
"ヘルパンギーナ","3","7","10","260"
"流行性耳下腺炎","9","3","12","260"
"不明発しん症","7","1","8","260"
"川崎病","0","1","1","260"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","3","1","4","38"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","2","3","5","25"
