"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2001年41週
"集計期間終了週",2001年41週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","178"
"RSウイルス感染症","0","0","0","142"
"咽頭結膜熱","1","2","3","142"
"Ａ群溶血性レンサ球菌咽頭炎","13","13","26","142"
"感染性胃腸炎","150","135","285","142"
"水痘","25","28","53","142"
"手足口病","19","13","32","142"
"伝染性紅斑","14","9","23","142"
"突発性発しん","38","33","71","142"
"百日咳","0","0","0","142"
"風しん","0","0","0","142"
"ヘルパンギーナ","5","4","9","142"
"麻しん（成人麻しん以外）","0","0","0","142"
"流行性耳下腺炎","47","41","88","142"
"不明発しん症","13","11","24","142"
"川崎病","0","0","0","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","12","10","22","14"
"急性脳炎(日本脳炎を除く)","0","0","0","25"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","1","1","2","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","2","2","4","25"
