"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2023年29週
"集計期間終了週",2023年29週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","244","169","413","417"
"新型コロナウイルス感染症（COVID-19）","1854","2044","3898","417"
"RSウイルス感染症","224","173","397","262"
"咽頭結膜熱","57","45","102","262"
"Ａ群溶血性レンサ球菌咽頭炎","151","135","286","262"
"感染性胃腸炎","474","398","872","262"
"水痘","19","20","39","262"
"手足口病","80","71","151","262"
"伝染性紅斑","3","6","9","262"
"突発性発しん","25","30","55","262"
"ヘルパンギーナ","508","463","971","262"
"流行性耳下腺炎","7","9","16","262"
"不明発しん症","6","6","12","262"
"川崎病","2","0","2","262"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","5","13","18","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","1","1","2","25"
"マイコプラズマ肺炎","1","0","1","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","2","2","4","25"
