"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2003年17週
"集計期間終了週",2003年17週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","4","3","7","178"
"RSウイルス感染症","0","0","0","142"
"咽頭結膜熱","2","4","6","142"
"Ａ群溶血性レンサ球菌咽頭炎","69","42","111","142"
"感染性胃腸炎","331","263","594","142"
"水痘","96","56","152","142"
"手足口病","16","9","25","142"
"伝染性紅斑","24","21","45","142"
"突発性発しん","38","54","92","142"
"百日咳","0","0","0","142"
"風しん","1","0","1","142"
"ヘルパンギーナ","3","2","5","142"
"麻しん（成人麻しん以外）","6","10","16","142"
"流行性耳下腺炎","15","9","24","142"
"不明発しん症","3","10","13","142"
"川崎病","0","1","1","142"
"急性出血性結膜炎","1","0","1","14"
"流行性角結膜炎","12","8","20","14"
"急性脳炎(日本脳炎を除く)","0","0","0","25"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","1","0","1","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","5","3","8","25"
