"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2021年24週
"集計期間終了週",2021年24週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","405"
"RSウイルス感染症","455","395","850","259"
"咽頭結膜熱","38","40","78","259"
"Ａ群溶血性レンサ球菌咽頭炎","54","54","108","259"
"感染性胃腸炎","582","524","1106","259"
"水痘","16","19","35","259"
"手足口病","25","15","40","259"
"伝染性紅斑","4","1","5","259"
"突発性発しん","68","53","121","259"
"ヘルパンギーナ","7","2","9","259"
"流行性耳下腺炎","13","7","20","259"
"不明発しん症","1","3","4","259"
"川崎病","4","0","4","259"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","3","4","7","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
