"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2011年51週"
"集計期間終了週","2011年51週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","3","0","0","1","5","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"中央区","9","0","0","2","15","5","0","1","1","0","0","1","0","0","0","3","0","0","0","0","0","","","","","",""
"みなと","9","2","8","1","49","11","1","0","5","1","0","0","0","0","0","0","0","1","0","0","0","","","","","",""
"新宿区","4","3","1","11","37","6","0","0","2","0","0","4","1","0","0","0","0","0","3","0","0","","","","","",""
"文京","1","4","0","0","17","3","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","","","","","",""
"台東","0","0","0","6","37","3","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","6","4","1","4","32","7","0","1","3","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","6","8","2","14","164","11","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","0","0","0","4","88","1","0","1","3","0","0","1","0","1","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","0","0","1","33","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","10","9","2","30","158","15","0","1","4","0","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","2","2","16","32","180","17","4","1","2","0","0","1","0","0","0","1","0","0","0","0","0","","","","","",""
"渋谷区","1","0","0","0","18","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","1","0","1","1","86","0","0","0","2","0","0","2","0","0","0","2","0","0","0","0","0","","","","","",""
"杉並","2","0","0","9","78","9","0","0","3","0","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","1","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","","","","","",""
"北区","2","0","0","2","54","3","1","0","3","0","0","1","0","0","0","1","0","0","0","0","0","","","","","",""
"荒川区","2","10","1","8","74","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","5","0","0","2","45","15","0","2","3","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","3","2","1","9","143","13","1","0","6","0","2","1","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","7","2","4","12","136","17","2","0","3","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","10","2","2","10","83","9","0","0","1","0","0","1","0","0","0","0","0","0","5","0","0","","","","","",""
"江戸川","34","1","7","21","207","26","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","3","3","5","25","213","39","0","7","3","2","0","12","2","0","0","2","0","0","0","0","0","","","","","",""
"町田市","5","0","0","41","167","34","2","2","1","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","3","1","13","46","20","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","","","","","",""
"南多摩","5","3","1","5","95","31","0","2","4","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","1","3","0","14","91","31","3","3","3","0","0","4","1","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","11","6","6","45","161","34","0","10","4","1","1","0","0","0","0","0","0","0","5","0","0","","","","","",""
"多摩小平","1","4","4","42","195","17","3","0","10","0","0","2","2","0","0","0","0","0","2","0","0","","","","","",""
"島しょ","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","145","71","63","366","2722","389","19","32","74","4","6","46","8","1","0","10","1","1","17","0","0","","","","","",""


