"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2003年10月"
"集計期間終了月","2003年10月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","",""
"中央区","8","2","2","2","0","0","0","0","0","",""
"みなと","9","2","1","2","1","1","0","0","0","",""
"新宿区","19","0","14","30","0","0","45","6","2","",""
"文京","0","0","0","0","0","0","15","1","0","",""
"台東","1","4","0","2","0","0","0","0","0","",""
"墨田区","6","4","2","6","0","0","6","1","0","",""
"江東区","18","9","4","14","0","0","0","0","0","",""
"品川区","4","0","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","3","1","1","1","0","0","5","0","0","",""
"世田谷","0","0","0","0","0","0","17","0","0","",""
"渋谷区","10","3","0","0","0","0","6","13","0","",""
"中野区","7","0","0","1","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","0","0","0","",""
"池袋","20","5","8","8","0","1","9","3","0","",""
"北区","0","0","0","2","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","0","1","2","1","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","2","0","1","8","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","2","0","0","",""
"江戸川","0","0","0","0","0","0","0","0","0","",""
"八王子","0","0","0","0","0","0","7","0","0","",""
"秋川","0","0","0","0","0","0","0","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","",""
"多摩川","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","7","0","2","12","0","0","0","0","0","",""
"村山大和","0","0","0","0","0","0","0","0","0","",""
"府中小金井","0","0","0","0","0","0","0","0","0","",""
"狛江調布","0","0","0","0","0","0","0","0","0","",""
"三鷹武蔵野","4","0","0","0","0","0","0","0","0","",""
"多摩小平","0","0","0","0","0","0","0","0","0","",""
"多摩東村山","0","0","0","0","0","0","3","0","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","",""
"合計","118","31","37","89","1","2","116","24","2","",""


