"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2000年4月"
"集計期間終了月","2000年4月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","2","1","0"
"1～4歳","0","0","0","0","0","0","0","4","0"
"5～9歳","0","0","0","0","0","0","1","1","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","8","2","5","6","0","0","0","1","0"
"20～24歳","28","6","6","19","0","0","1","0","0"
"25～29歳","28","7","12","20","1","0","1","0","0"
"30～34歳","13","7","8","17","1","2","0","0","0"
"35～39歳","16","7","2","9","0","1","1","0","0"
"40～44歳","11","0","1","10","0","1","0","0","0"
"45～49歳","6","2","2","5","0","1","2","0","0"
"50～54歳","4","1","0","2","0","0","3","0","0"
"55～59歳","3","2","1","0","0","0","4","0","0"
"60～64歳","0","1","0","2","0","0","8","0","0"
"65～69歳","0","1","0","0","0","0","8","1","1"
"70歳以上","0","0","0","0","0","0","34","2","1"
"合計","117","36","37","90","2","5","66","10","2"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2000年4月"
"集計期間終了月","2000年4月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","5","1","0"
"1～4歳","0","0","0","0","0","0","2","2","0"
"5～9歳","0","0","0","0","0","0","0","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0"
"15～19歳","13","2","3","2","1","0","0","1","0"
"20～24歳","44","13","4","7","6","1","0","0","0"
"25～29歳","39","10","3","6","5","0","0","0","0"
"30～34歳","13","3","0","4","5","0","2","2","0"
"35～39歳","9","5","0","1","2","0","3","0","0"
"40～44歳","1","4","1","0","0","1","0","0","0"
"45～49歳","0","1","0","0","3","0","0","0","0"
"50～54歳","0","1","0","0","0","0","1","0","0"
"55～59歳","0","0","0","0","0","0","0","0","0"
"60～64歳","0","0","0","0","0","0","1","3","0"
"65～69歳","0","0","0","0","0","0","5","0","0"
"70歳以上","0","0","0","0","0","0","18","0","2"
"合計","119","39","11","20","22","2","38","9","2"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2000年4月"
"集計期間終了月","2000年4月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","7","2","0"
"1～4歳","0","0","0","0","0","0","2","6","0"
"5～9歳","0","0","0","0","0","0","1","1","0"
"10～14歳","0","0","0","0","0","0","2","0","0"
"15～19歳","21","4","8","8","1","0","0","2","0"
"20～24歳","72","19","10","26","6","1","1","0","0"
"25～29歳","67","17","15","26","6","0","1","0","0"
"30～34歳","26","10","8","21","6","2","2","2","0"
"35～39歳","25","12","2","10","2","1","4","0","0"
"40～44歳","12","4","2","10","0","2","0","0","0"
"45～49歳","6","3","2","5","3","1","2","0","0"
"50～54歳","4","2","0","2","0","0","4","0","0"
"55～59歳","3","2","1","0","0","0","4","0","0"
"60～64歳","0","1","0","2","0","0","9","3","0"
"65～69歳","0","1","0","0","0","0","13","1","1"
"70歳以上","0","0","0","0","0","0","52","2","3"
"合計","236","75","48","110","24","7","104","19","4"
"定点数","41","41","41","41","41","41","25","25","25"


